1:1	Das|the Hohelied|song Salomos|Solomon
1:12	Da|then der|the König|royal sich|himself herwandte|that compass about gab|put meine|my Narde|spikenard ihren|their Geruch|savour
1:13	Mein|my Freund|beloved ist|is mir|me ein|a Büschel|bundle Myrrhen|myrrh das|the zwischen|between meinen|my Brüsten|breast hanget|lodge
1:14	Mein|my Freund|beloved ist|is mir|me eine|a Traube|CLUSTER von|from Zyperblumen|ransom in|in den|the Weinbergen|vineyard zu|to Engedi|Engedi
1:15	Siehe|fair meine|my Freundin|love du|you bist|are schön|fair schön|beautiful bist|are du|fair deine|your Augen|eye sind|are wie|as Taubenaugen|dove
1:16	Siehe|fair mein|my Freund|beloved du|you bist|are schön|fair und|and lieblich|pleasant Unser|our Bett|bed grünt|green
1:17	unserer|OUR Häuser|household Balken|beam sind|are Zedern|CEDARS unser|our Getäfel|rafter Zypressen|CYPRESS
2:1	Ich|I bin|am eine|a Blume|rose zu|to Saron|Sharon und|and eine|a Rose|lily im|in-the Tal|valley
2:2	Wie|as eine|a Rose|lily unter|under den|the Dornen|brambles so|then ist|is meine|my Freundin|love unter|under den|the Töchtern|daughter
2:3	Wie|as ein|a Apfelbaum|apple unter|under den|tree wilden|forest Bäumen|tree so|then ist|is mein|my Freund|beloved unter|under den|the Söhnen|SONS Ich|I sitze|dwell unter|under dem|the Schatten|shadow des|of-the ich|I begehre|desire und|and seine|his Frucht|fruit ist|is meiner|my Kehle|mouth süß|sweet
2:4	Er|he führt|LEADS mich|me in|in den|the Weinkeller|wine und|and die|the Liebe|my ist|is sein|his Panier|standard über|over mir|me
2:5	Er|he erquickt|lay mich|me mit|with Blumen|FLOWERS und|and labt|spread mich|me mit|with Äpfeln|apple denn|for ich|I bin|am krank|beseech vor|before Liebe|my
2:6	Seine|his Linke|left liegt|lies unter|under meinem|my Haupte|head und|and seine|his Rechte|hand herzt|embrace mich|me
2:7	Ich|I beschwöre|sware euch|you ihr|you Töchter|daughter Jerusalems|Jerusalem bei|with den|the Rehen|roe oder|or bei|with den|the Hinden|HINDS auf|on dem|the Felde|field daß|that ihr|you meine|my Freundin|BELOVED nicht|not aufweckt|awake noch|still regt|awake bis|until es|it ihr|you selbst|itself gefällt|delight
2:8	Da|then ist|is die|the Stimme|voice meines|my Freundes|beloved Siehe|behold er|he kommt|comes und|and hüpft|leap auf|on den|the Bergen|mountain und|and springt|shut auf|on den|the Hügeln|hill
2:9	Mein|my Freund|beloved ist|is gleich|like einem|a Reh|roe oder|or jungen|young Hirsch|doe Siehe|behold er|he steht|stood hinter|behind unsrer|our Wand|wall sieht|look durchs|through-the Fenster|window und|and schaut|flourish durchs|through-the Gitter|LATTICE
2:10	Mein|my Freund|beloved antwortet|answer und|and spricht|it-is-said zu|to mir|me Stehe|stand auf|arise meine|my Freundin|love meine|my Schöne|fair und|and komm|come her|go
2:11	Denn|for siehe|behold der|the Winter|winter ist|is vergangen|pass der|the Regen|rain ist|is weg|change und|and dahin|go
2:12	die|the Blumen|flower sind|are hervorgekommen|see im|in-the Lande|land der|the Lenz|time ist|is herbeigekommen|touch und|voice die|the Turteltaube|turtledove läßt|let sich|himself hören|hear in|in unserm|our Lande|land
2:13	der|the Feigenbaum|fig hat|has Knoten|green figurativelypag gewonnen|embalm die|the Weinstöcke|vine haben|put Blüten|savour gewonnen|put und|and geben|give ihren|their Geruch|tender grape.çᵉmâdar Stehe|stand auf|arise meine|my Freundin|love und|and komm|go meine|my Schöne|fair komm|come her|go
2:14	Meine|my Taube|dove in|in den|the Felsklüften|cleft in|in den|the Steinritzen|rock zeige|see mir|me deine|your Gestalt|appearance laß|let mich|voice hören|hear deine|your Stimme|voice denn|for die|the Stimme|voice ist|is süß|sweet und|and deine|your Gestalt|appearance ist|is lieblich|comely
2:15	Fanget|CATCH uns|us die|the Füchse|fox die|the kleinen|small Füchse|fox die|the die|the Weinberge|vineyard verderben|destroy denn|for unsere|our Weinberge|vineyard haben|have Blüten|BLOSSOMS gewonnen|tender grape.çᵉmâdar
2:16	Mein|my Freund|beloved ist|is mein|my und|and ich|I bin|am sein|his der|feed unter|under Rosen|lily weidet|feed
2:17	Bis|until der|the Tag|time kühl|cool wird|speak und|and die|the Schatten|shadow weichen|flee kehre|return um|compass werde|will wie|like ein|a Reh|roe mein|my Freund|beloved oder|or wie|as ein|a junger|young Hirsch|doe auf|mountain den|the Scheidebergen|MOUNTAINS-OF-SEPARATION
3:1	Des|of-the Nachts|night auf|on meinem|my Lager|bed suchte|searched ich|seek den|the meine|my Seele|soul liebt|LOVES Ich|I suchte|seek aber|but ich|I fand|find ihn|him nicht|not
3:2	Ich|I will|will aufstehen|arise und|and in|in der|the Stadt|town umgehen|compass auf|on den|the Gassen|street und|and Straßen|street und|and suchen|seek den|the meine|my Seele|soul liebt|LOVES Ich|I suchte|seek aber|but ich|I fand|find ihn|him nicht|not
3:3	Es|it fanden|find mich|see die|the Wächter|keep die|the in|in der|the Stadt|town umgehen|compass "Habt|"HAVE ihr|you nicht|not gesehen|see den|the meine|my Seele|soul liebt|LOVES |
3:4	Da|then ich|I ein|a wenig|little an|to ihnen|them vorüber|by war|pass da|then fand|found ich|find den|the meine|my Seele|soul liebt|LOVES Ich|I halte|keep ihn|him und|and will|will ihn|him nicht|not lassen|feeble bis|until ich|I ihn|him bringe|bring in|in meiner|my Mutter|mother Haus|household in|in die|the Kammer|chamber der|the die|the mich|me geboren|born hat|conceive
3:5	Ich|I beschwöre|sware euch|you ihr|you Töchter|daughter Jerusalems|Jerusalem bei|with den|the Rehen|roe oder|or Hinden|HINDS auf|on dem|the Felde|field daß|that ihr|you meine|my Freundin|BELOVED nicht|not aufweckt|awake noch|still regt|awake bis|until es|it ihr|you selbst|itself gefällt|delight
3:6	Wer|who ist|is die|the die|the heraufgeht|offer aus|from der|the Wüste|wilderness wie|as ein|a gerader|STRAIGHT Rauch|pillar wie|as ein|a Geräuch|incense von|from Myrrhe|myrrh Weihrauch|frankincense und|and allerlei|every Gewürzstaub|SPICE-POWDER des|of-the Krämers|merchant
3:7	Siehe|bed um|circuits das|the Bett|bed Salomos|Solomon her|circuits stehen|standing sechzig|threescore Starke|mighty aus|from den|the Starken|mighty in|in Israel|Israelites
3:8	Sie|sword halten|keep alle|all Schwerter|sword und|and sind|are geschickt|teach zu|to streiten|war Ein|a jeglicher|one hat|has sein|his Schwert|sword an|to seiner|his Hüfte|thigh um|for des|of-the Schreckens|TERROR willen|fear in|in der|the Nacht|night
3:9	Der|the König|royal Salomo|Solomon ließ|had sich|himself eine|a Sänfte|PALANQUIN machen|make von|from Holz|tree aus|from Libanon|Lebanon
3:10	Ihre|their Säulen|pillar sind|make silbern|silver die|the Decke|bottom golden|gold der|the Sitz|saddle purpurn|PURPLE und|and inwendig|midst ist|is sie|paved lieblich|pleasing ausgeziert|paved um|for der|the Töchter|daughter Jerusalems|Jerusalem willen|daughter
3:11	Gehet|go heraus|bring und|and schauet|BEHOLD an|see ihr|you Töchter|daughter Zions|Zion den|the König|royal Salomo|Solomon in|in der|the Krone|crown damit|thus ihn|him seine|his Mutter|mother gekrönt|CROWNED hat|crown am|on-the Tage|time seiner|his Hochzeit|espousal und|and am|on-the Tage|time der|the Freude|joy seines|his Herzens|heart
4:1	Siehe|fair meine|my Freundin|love du|you bist|are schön|fair siehe|behold schön|beautiful bist|are du|fair Deine|your Augen|eye sind|are wie|as Taubenaugen|dove zwischen|about deinen|your Zöpfen|lock Dein|your Haar|hair ist|is wie|as eine|a Herde|flock Ziegen|goat die|the gelagert|lain-down sind|are am|on-the Berge|mountain Gilead|Gilead herab|appear
4:2	Deine|your Zähne|teeth sind|are wie|as eine|a Herde|flock Schafe|sheep mit|with bechnittener|FRESHLY-SHORN Wolle|shorn die|the aus|from der|the Schwemme|washing kommen|offer die|the allzumal|ALL Zwillinge|twins haben|coupled und|and es|it fehlt|LACKS keiner|none unter|under ihnen|barren
4:3	Deine|your Lippen|lip sind|are wie|as eine|a scharlachfarbene|scarlet Schnur|thread und|and deine|your Rede|wilderness lieblich|comely Deine|your Wangen|temple sind|are wie|as der|the Ritz|piece am|on-the Granatapfel|pomegranate zwischen|about deinen|your Zöpfen|lock
4:4	Dein|your Hals|neck ist|is wie|David der|the Turm|tower Davids|David mit|with Brustwehr|BATTLEMENTS gebaut|build daran|armoury tausend|thousand Schilde|shield hangen|armoury und|and allerlei|every Waffen|shield der|the Starken|mighty
4:5	Deine|your zwei|two Brüste|breast sind|are wie|as zwei|two junge|young Rehzwillinge|roe die|the unter|under den|the Rosen|lily weiden|feed
4:6	Bis|until der|the Tag|time kühl|cool wird|speak und|and die|the Schatten|shadow weichen|flee will|will ich|go zum|as-a Myrrhenberge|mountain gehen|go und|and zum|as-a Weihrauchhügel|hill
4:7	Du|you bist|are allerdinge|ALTOGETHER schön|fair meine|my Freundin|love und|and ist|is kein|no Flecken|blemish an|to dir|you
4:8	Komm|come mit|with mir|Lebanon meine|my Braut|bride vom|from-the Libanon|Lebanon komm|come mit|with mir|me vom|from-the Libanon|Lebanon tritt|come her|behold von|from der|the Höhe|head Amana|AMANA von|from der|the Höhe|head Senir|Senir und|and Hermon|Hermon von|from den|the Wohnungen|den der|the Löwen|LIONS von|from den|the Bergen|mountain der|the Leoparden|leopard
4:9	Du|you hast|have mir|me das|the Herz|heart genommen|make meine|my Schwester|sister liebe|my Braut|bride mit|with deiner|your Augen|eye einem|a und|and mit|with deiner|neck Halsketten|chain einer|one
4:10	Wie|as schön|fair ist|is deine|your Liebe|beloved meine|my Schwester|sister liebe|my Braut|bride Deine|your Liebe|beloved ist|is lieblicher|good denn|for Wein|wine und|and der|the Geruch|savour deiner|your Salben|oil übertrifft|SURPASSES alle|all Würze|spice
4:11	Deine|your Lippen|lip meine|my Braut|bride sind|are wie|as triefender|drop Honigseim|honeycomb Honig|honey und|and Milch|milk ist|is unter|under deiner|your Zunge|tongue und|savour deiner|your Kleider|garment Geruch|savour ist|is wie|as der|the Geruch|savour des|of-the Libanon|Lebanon
4:12	Meine|my Schwester|sister liebe|my Braut|bride du|you bist|are ein|a verschlossener|lock Garten|garden eine|a verschlossene|lock Quelle|heap ein|a versiegelter|seal Born|fountain
4:13	Deine|your Gewächse|sword sind|are wie|as ein|a Lustgarten|orchard von|from Granatäpfeln|pomegranate mit|with edlen|pleasant Früchten|fruit Zyperblumen|ransom mit|with Narden|spikenard
4:14	Narde|spikenard und|and Safran|saffron Kalmus|reed und|and Zimt|cinnamon mit|with allerlei|every Bäumen|tree des|of-the Weihrauchs|frankincense Myrrhen|myrrh und|and Aloe|ALOES mit|with allen|all besten|head Würzen|spice
4:15	Ein|a Gartenbrunnen|fountain bist|are du|you ein|a Born|Kadesh lebendiger|live Wasser|water die|the vom|from-the Libanon|Lebanon fließen|flood
4:16	Stehe|stand auf|awake Nordwind|north und|and komm|come Südwind|south und|and wehe|BLOW durch|speak meinen|my Garten|garden daß|that seine|his Würzen|spice triefen|flood Mein|my Freund|beloved komme|come in|in seinen|his Garten|garden und|and esse|eat von|from seinen|his edlen|pleasant Früchten|fruit
5:1	Ich|I bin|garden gekommen|come meine|my Schwester|sister liebe|my Braut|bride in|in meinen|my Garten|garden Ich|I habe|have meine|my Myrrhe|myrrh samt|along-with meinen|my Würzen|spice abgebrochen|freshly ich|I habe|have meinen|my Seim|forest samt|along-with meinem|my Honig|honey gegessen|eaten ich|I habe|have meinen|my Wein|wine samt|along-with meiner|my Milch|milk getrunken|drink Eßt|eat meine|my Lieben|beloved und|and trinkt|drink meine|my Freunde|neighbour und|and werdet|will trunken|drunken
5:2	Ich|I schlafe|sleep aber|but mein|my Herz|heart wacht|awake Da|then ist|is die|the Stimme|voice meines|my Freundes|beloved der|the anklopft|overdrive Tue|do mir|me auf|open liebe|my Freundin|love meine|my Schwester|sister meine|my Taube|dove meine|my Fromme|perfect denn|for mein|my Haupt|head ist|is voll|fill Tau|dew und|and meine|my Locken|lock voll|filled-with Nachttropfen|drop
5:3	Ich|I habe|have meinen|my Rock|coat ausgezogen|strip wie|as soll|shall ich|I ihn|him wieder|back anziehen|clothe Ich|I habe|have meine|my Füße|feet gewaschen|wash wie|as soll|shall ich|I sie|they wieder|back besudeln|DEFILE
5:4	Aber|but mein|my Freund|beloved steckte|PUT seine|his Hand|HAND durchs|THROUGH-THE Riegelloch|hole und|and mein|my Innerstes|bowels erzitterte|YEARNED davor|FOR-HIM
5:5	Da|then stand|rose ich|I auf|arise daß|that ich|I meinem|my Freund|beloved auftäte|open meine|my Hände|by troffen|drop von|from Myrrhe|myrrh und|and meine|my Finger|FINGERS von|from fließender|pass Myrrhe|myrrh an|to dem|the Riegel|hand am|on-the Schloß|lock
5:6	Und|and da|then ich|open meinem|my Freund|beloved aufgetan|opened hatte|open war|withdraw er|beloved weg|withdraw und|and hingegangen|pass Meine|my Seele|soul war|was außer|except sich|bring als|when er|he redete|speak Ich|I suchte|seek ihn|him aber|but ich|I fand|find ihn|him nicht|not ich|I rief|call aber|but er|he antwortete|answer mir|me nicht|not
5:7	Es|it fanden|find mich|smite die|the Hüter|keep die|the in|in der|the Stadt|town umgehen|compass die|the schlugen|smite mich|me wund|wounded die|the Hüter|keep auf|on der|the Mauer|wall nahmen|bear mir|me meinen|my Schleier|VEIL
5:8	Ich|I beschwöre|sware euch|you ihr|you Töchter|daughter Jerusalems|Jerusalem findet|find ihr|you meinen|my Freund|beloved so|then sagt|say ihm|tell daß|that ich|beseech vor|before Liebe|my krank|ill liege|beseech
5:9	Was|what ist|is dein|your Freund|beloved vor|before andern|another Freunden|beloved o|O du|you schönste|fair unter|under den|the Weibern|wives Was|what ist|is dein|your Freund|beloved vor|before andern|another Freunden|beloved daß|that du|you uns|us so|after that  manner beschworen|ADJURED hast|sware
5:10	Mein|my Freund|beloved ist|is weiß|white und|and rot|RED auserkoren|chiefest unter|under vielen|MANY Tausenden|million
5:11	Sein|his Haupt|head ist|is das|the feinste|FINEST Gold|gold Seine|his Locken|lock sind|are kraus|bushy schwarz|black wie|as ein|a Rabe|raven
5:12	Seine|his Augen|eye sind|are wie|as Augen|eyes der|the Tauben|dove an|to den|the Wasserbächen|WATER-BROOKS mit|with Milch|milk gewaschen|wash und|and stehen|dwell in|in Fülle|abundance
5:13	Seine|his Backen|cheek sind|are wie|as Würzgärtlein|bed da|then Balsamkräuter|spice wachsen|fruitful Seine|his Lippen|lip sind|are wie|as Rosen|lily die|drop von|from fließender|pass Myrrhe|myrrh triefen|drop
5:14	Seine|his Hände|by sind|are wie|as goldene|gold Ringe|folding voll|fill Türkise|beryl Sein|his Leib|bowels ist|is wie|as reines|bright Elfenbein|teeth mit|with Saphiren|sapphire geschmückt|faint
5:15	Seine|his Beine|shoulder sind|are wie|as Marmelsäulen|linen gegründet|foundation auf|on goldenen|fine Füßen|feet Seine|his Gestalt|appearance ist|is wie|as Libanon|Lebanon auserwählt|CHOICE wie|as Zedern|CEDARS
5:16	Seine|his Kehle|mouth ist|is süß|sweet und|and er|he ist|is ganz|all lieblich|pleasant Ein|a solcher|such ist|is mein|my Freund|beloved mein|my Freund|friend ist|is ein|a solcher|neighbour ihr|you Töchter|daughter Jerusalems|Jerusalem
6:1	Wo|where ist|is denn|for dein|your Freund|beloved hin|away gegangen|go o|O du|you schönste|fair unter|under den|the Weibern|wives Wo|where hat|has sich|himself dein|your Freund|beloved hin|away gewandt|turn So|then wollen|will wir|we mit|with dir|you ihn|him suchen|seek
6:2	Mein|my Freund|beloved ist|is hinabgegangen|descend in|in seinen|his Garten|garden zu|to den|the Würzgärtlein|bed daß|that er|he weide|feed in|in den|the Gärten|garden und|and Rosen|lily breche|gather
6:3	Mein|my Freund|beloved ist|is mein|lily und|beloved ich|I bin|am sein|beloved der|the unter|under den|the Rosen|lily weidet|feed
6:4	Du|you bist|are schön|fair meine|my Freundin|love wie|as Thirza|Tirzah lieblich|comely wie|as Jerusalem|Jerusalem schrecklich|AWESOME wie|as Heerscharen|chiefest
6:5	Wende|compass deine|your Augen|eye von|from mir|compass denn|for sie|walk verwirren|confuse mich|overcome Deine|your Haare|hair sind|are wie|as eine|a Herde|flock Ziegen|goat die|the am|on-the Berge|mountain Gilead|Gilead herab|down gelagert|lain-down sind|appear
6:6	Deine|your Zähne|teeth sind|are wie|as eine|a Herde|flock Schafe|ewe die|the aus|from der|the Schwemme|washing kommen|offer die|the allzumal|ALL Zwillinge|twins haben|coupled und|and es|it fehlt|LACKS keiner|none unter|under ihnen|barren
6:7	Deine|your Wangen|temple sind|are wie|as ein|a Ritz|piece am|on-the Granatapfel|pomegranate zwischen|about deinen|your Zöpfen|lock
6:8	Sechzig|sixty sind|threescore der|the Königinnen|queen und|and achtzig|eighty der|the Kebsweiber|concubine und|and der|the Jungfrauen|virgin ist|is keine|no Zahl|number
6:9	Aber|but eine|a ist|is meine|my Taube|dove meine|my Fromme|perfect eine|a ist|is ihrer|their Mutter|mother die|the Liebste|clean und|and die|the Auserwählte|CHOSEN-ONE ihrer|their Mutter|beget Da|daughter sie|see die|the Töchter|daughter sahen|see priesen|praised sie|they dieselbe|that selig|happy die|the Königinnen|queen und|and Kebsweiber|concubine lobten|PRAISED sie|praise
6:10	Wer|who ist|is die|the hervorbricht|look wie|as die|the Morgenröte|morning schön|fair wie|as der|the Mond|moon auserwählt|clean wie|as die|the Sonne|sun schrecklich|AWESOME wie|as Heerscharen|chiefest
6:11	Ich|I bin|garden hinab|descend in|in den|the Nußgarten|garden gegangen|descend zu|to schauen|see die|the Sträuchlein|SHRUBS am|on-the Bach|river zu|to schauen|see ob|whether die|the Granatbäume|pomegranate blühten|bud
6:12	Ich|I wußte|knew nicht|know daß|that meine|my Seele|soul mich|me gesetzt|made hatte|put zu|to den|the Wagen|chariot Ammi-|AMMI- Nadibs|NADIB
6:13	[7|[7 1]|1] Kehre|return wieder|return kehre|return wieder|return o|O Sulamith|Shulamite kehre|return wieder|return kehre|return wieder|return daß|that wir|we dich|you schauen|see Was|what sehet|see ihr|see an|dance Sulamith|Shulamite Den|the Reigen|dance zu|to Mahanaim|camp
7:1	Wie|as schön|fair ist|is dein|your Gang|once in|in den|the Schuhen|shoe du|you Fürstentochter|prince Deine|your Lenden|thigh stehen|standing gleich|like aneinander|joint wie|as zwei|two Spangen|ornament die|work des|of-the Meisters|MASTER'S Hand|by gemacht|made hat|work
7:2	Dein|your Schoß|navel ist|is wie|as ein|a runder|round Becher|cup dem|the nimmer|NEVER Getränk|liquor mangelt|want Dein|your Leib|body ist|is wie|as ein|heap Weizenhaufen|wheat umsteckt|set about mit|with Rosen|lily
7:3	Deine|your zwei|two Brüste|breast sind|are wie|as zwei|two Rehzwillinge|twin
7:4	Dein|your Hals|neck ist|is wie|as ein|a elfenbeinerner|teeth Turm|tower Deine|your Augen|eye sind|are wie|as die|the Teiche|pool zu|to Hesbon|Heshbon am|on-the Tor|gate Bathrabbims|Bathrabbim Deine|your Nase|nostrils ist|is wie|as der|the Turm|tower auf|on dem|the Libanon|Lebanon der|the gen|face Damaskus|Damascus sieht|watchman
7:5	Dein|your Haupt|head steht|is auf|on dir|you wie|as der|the Karmel|Carmel Das|the Haar|poor auf|on deinem|your Haupt|head ist|is wie|as der|the Purpur|PURPLE des|of-the Königs|royal in|in Falten|gutter gebunden|bound
7:6	Wie|as schön|fair und|and wie|as lieblich|pleasant bist|are du|you du|you Liebe|my voller|FULL-OF Wonne|delight
7:7	Dein|your Wuchs|grew ist|is hoch|height wie|like ein|a Palmbaum|palm .tâmâr und|and deine|your Brüste|breast gleich|like den|the Weintrauben|GRAPES
7:8	Ich|I sprach|said Ich|I muß|must auf|on dem|the Palmbaum|palm .tâmâr steigen|offer und|and seine|his Zweige|boughs ergreifen|GRASP Laß|let deine|your Brüste|breast sein|his wie|as Trauben|clusters am|on-the Weinstock|vine und|savour deiner|your Nase|nostrils Duft|savour wie|as Äpfel|apple
7:9	und|and deinen|your Gaumen|mouth wie|as guter|good Wein|wine der|equity meinem|my Freunde|beloved glatt|equity eingeht|go und|lip der|the Schläfer|sleep Lippen|lip reden|speak macht|power
7:10	Mein|my Freund|friend ist|is mein|beloved und|desire nach|after mir|me steht|is sein|his Verlangen|desire
7:11	Komm|go mein|my Freund|beloved laß|let uns|bring aufs|to-the Feld|field hinausgehen|bring und|lodge auf|on den|the Dörfern|VILLAGES bleiben|lodge
7:12	daß|that wir|we früh|early aufstehen|betimes zu|to den|the Weinbergen|vineyard daß|that wir|we sehen|see ob|whether der|the Weinstock|vine sprosse|flourish und|and seine|his Blüten|tender grape.çᵉmâdar aufgehen|open ob|whether die|the Granatbäume|pomegranate blühen|bud da|then will|will ich|I dir|you meine|my Liebe|beloved geben|put
7:13	Die|the Lilien|mandrake geben|put den|the Geruch|savour und|and über|over unsrer|our Tür|door sind|are allerlei|every edle|pleasant Früchte|new Mein|my Freund|beloved ich|I habe|have dir|you beide|hide heurige|new und|and vorjährige|LAST-YEAR'S behalten|hide
8:1	O|O daß|put du|you mir|me gleich|like einem|a Bruder|brother wärest|suck der|breast meiner|my Mutter|mother Brüste|breast gesogen|suck Fände|find ich|I dich|you draußen|without so|then wollte|to ich|I dich|you küssen|kiss und|and niemand|no-one dürfte|COULD mich|me höhnen|SCORN
8:2	Ich|I wollte|to dich|you führen|lead und|and in|in meiner|my Mutter|mother Haus|household bringen|bring da|then du|you mich|me lehren|TEACH solltest|teach da|then wollte|to ich|spiced dich|you tränken|drink mit|with gewürztem|SPICED Wein|spiced und|and mit|with dem|the Most|juice meiner|my Granatäpfel|pomegranate
8:3	Seine|his Linke|left liegt|lies unter|under meinem|my Haupt|head und|and seine|his Rechte|hand herzt|embrace mich|me
8:4	Ich|I beschwöre|sware euch|you Töchter|daughter Jerusalems|Jerusalem daß|that ihr|you meine|my Liebe|my nicht|not aufweckt|awake noch|still regt|awake bis|until es|it ihr|you selbst|itself gefällt|delight
8:5	Wer|who ist|is die|the die|the heraufsteigt|offer von|from der|the Wüste|wilderness und|and lehnt|rest sich|leaning auf|on ihren|their Freund|beloved Unter|under dem|the Apfelbaum|apple weckte|AWAKENED ich|I dich|awake da|then ist|is dein|your genesen|destroy deine|your Mutter|mother da|then ist|is dein|your genesen|destroy die|the dich|you geboren|born hat|beget
8:6	Setze|put mich|me wie|as ein|a Siegel|signet auf|on dein|your Herz|heart und|and wie|as ein|a Siegel|signet auf|on deinen|your Arm|arm Denn|for Liebe|my ist|is stark|strong wie|as der|the Tod|death und|and ihr|you Eifer|jealousy ist|is fest|hard wie|as die|the Hölle|grave Ihre|their Glut|coals ist|is feurig|FIERY und|coals eine|a Flamme|flame des|of-the HERRN|LORD
8:7	daß|that auch|also viele|many Wasser|water nicht|not mögen|could die|the Liebe|my auslöschen|quenched noch|still die|the Ströme|river sie|they ertränken|overflow Wenn|put einer|one alles|all Gut|rich in|in seinem|his Hause|household um|for die|the Liebe|my geben|give wollte|to so|then gölte|WOULD-COUNT es|it alles|all nichts|nothing
8:8	Unsere|our Schwester|sister ist|is klein|small und|and hat|has keine|no Brüste|breast Was|what sollen|shall wir|we unsrer|our Schwester|sister tun|make wenn|time man|one nun|now um|for sie|they werben|trade wird|speak
8:9	Ist|is sie|they eine|a Mauer|wall so|then wollen|will wir|castle ein|a silbernes|silver Bollwerk|castle darauf|on-it bauen|build Ist|is sie|they eine|a Tür|doors so|then wollen|will wir|we sie|besiege festigen|tables mit|with Zedernbohlen|CEDAR-BOARDS
8:10	Ich|I bin|am eine|a Mauer|wall und|and meine|my Brüste|breast sind|are wie|as Türme|tower Da|then bin|am ich|I geworden|become vor|before seinen|his Augen|eye als|when die|the Frieden|peace findet|find
8:11	Salomo|Solomon hat|has einen|a Weinberg|vineyard zu|to Baal-|BAAL- Hamon|Baalhamon Er|he gab|put den|the Weinberg|vineyard den|the Hütern|keep daß|that ein|a jeglicher|one für|for seine|his Früchte|fruit brächte|bring tausend|thousand Silberlinge|silver
8:12	Mein|vineyard eigener|face Weinberg|vineyard ist|is vor|before mir|face Dir|you Salomo|SOLOMON gebühren|Solomon tausend|thousand aber|but zweihundert|hundred den|the Hütern|keep seiner|his Früchte|fruit
8:13	Die|the du|you wohnst|dwell in|in den|the Gärten|garden laß|let mich|hear deine|your Stimme|voice hören|hear die|the Genossen|companions merken|know darauf|hearken
8:14	Flieh|flee mein|my Freund|beloved und|and sei|be gleich|like einem|a Reh|roe oder|or jungen|young Hirsch|doe auf|on den|the Würzbergen|mountain
